day,sleep_score,total_sleep_seconds,deep_sleep_seconds,rem_sleep_seconds,light_sleep_seconds,awake_seconds,time_in_bed_seconds,efficiency,latency_seconds,bedtime_start,bedtime_end,contributors_json,updated_at
2025-04-30,70,25890,3900,4140,17850,3893,29783,87,480,2025-04-30T04:26:32+00:00,2025-04-30T12:42:55+00:00,"{""timing"":55,""latency"":81,""rem_sleep"":54,""deep_sleep"":60,""efficiency"":88,""restfulness"":69,""total_sleep"":73}",2026-04-18T21:19:47.596476+00:00
2025-05-01,67,26640,1860,8010,16770,13466,40106,66,1920,2025-05-01T05:56:00+00:00,2025-05-01T17:04:26+00:00,"{""timing"":14,""latency"":54,""rem_sleep"":100,""deep_sleep"":60,""efficiency"":41,""restfulness"":40,""total_sleep"":95}",2026-04-18T21:19:47.596476+00:00
2025-05-02,66,24660,5310,4860,14490,4848,29508,84,480,2025-05-02T05:48:00+00:00,2025-05-02T13:59:48+00:00,"{""timing"":22,""latency"":81,""rem_sleep"":64,""deep_sleep"":83,""efficiency"":81,""restfulness"":63,""total_sleep"":68}",2026-04-18T21:19:47.596476+00:00
2025-05-03,53,29010,3000,6660,19350,20515,49525,59,2670,2025-05-03T03:34:27+00:00,2025-05-03T17:19:52+00:00,"{""timing"":22,""latency"":22,""rem_sleep"":88,""deep_sleep"":46,""efficiency"":24,""restfulness"":17,""total_sleep"":85}",2026-04-18T21:19:47.596476+00:00
2025-05-04,77,26310,2730,7020,16560,5706,32016,82,390,2025-05-04T06:24:29+00:00,2025-05-04T15:18:05+00:00,"{""timing"":23,""latency"":75,""rem_sleep"":97,""deep_sleep"":51,""efficiency"":72,""restfulness"":68,""total_sleep"":97}",2026-04-18T21:19:47.596476+00:00
2025-05-05,74,33930,4020,5100,24810,9451,43381,78,660,2025-05-05T03:49:27+00:00,2025-05-05T15:52:28+00:00,"{""timing"":32,""latency"":89,""rem_sleep"":67,""deep_sleep"":62,""efficiency"":67,""restfulness"":51,""total_sleep"":100}",2026-04-18T21:19:47.596476+00:00
2025-05-06,61,24120,4440,4710,14970,5246,29366,82,1770,2025-05-06T05:20:27+00:00,2025-05-06T13:29:53+00:00,"{""timing"":24,""latency"":59,""rem_sleep"":62,""deep_sleep"":69,""efficiency"":76,""restfulness"":59,""total_sleep"":66}",2026-04-18T21:19:47.596476+00:00
2025-05-07,69,18990,3420,3450,12120,3270,22260,85,1260,2025-05-07T05:09:28+00:00,2025-05-07T11:20:28+00:00,"{""timing"":65,""latency"":83,""rem_sleep"":60,""deep_sleep"":83,""efficiency"":74,""restfulness"":72,""total_sleep"":62}",2026-04-18T21:19:47.596476+00:00
2025-05-08,62,24330,4740,4800,14790,5254,29584,82,1350,2025-05-08T07:18:29+00:00,2025-05-08T15:31:33+00:00,"{""timing"":6,""latency"":78,""rem_sleep"":63,""deep_sleep"":74,""efficiency"":76,""restfulness"":60,""total_sleep"":67}",2026-04-18T21:19:47.596476+00:00
2025-05-09,82,27480,4980,5250,17250,5115,32595,84,1290,2025-05-09T05:17:30+00:00,2025-05-09T14:20:45+00:00,"{""timing"":34,""latency"":81,""rem_sleep"":89,""deep_sleep"":81,""efficiency"":79,""restfulness"":79,""total_sleep"":96}",2026-04-18T21:19:47.596476+00:00
2025-05-10,61,27840,3750,7140,16950,12338,40178,69,1530,2025-05-10T06:59:31+00:00,2025-05-10T18:09:09+00:00,"{""timing"":1,""latency"":70,""rem_sleep"":95,""deep_sleep"":59,""efficiency"":46,""restfulness"":37,""total_sleep"":80}",2026-04-18T21:19:47.596476+00:00
2025-05-11,73,31080,5250,6930,18900,10332,41412,75,1230,2025-05-11T05:38:31+00:00,2025-05-11T17:08:43+00:00,"{""timing"":12,""latency"":83,""rem_sleep"":93,""deep_sleep"":83,""efficiency"":60,""restfulness"":54,""total_sleep"":92}",2026-04-18T21:19:47.596476+00:00
2025-05-12,77,30180,4260,8400,17520,4181,34361,88,1110,2025-05-12T05:42:31+00:00,2025-05-12T15:15:12+00:00,"{""timing"":15,""latency"":89,""rem_sleep"":98,""deep_sleep"":66,""efficiency"":90,""restfulness"":68,""total_sleep"":89}",2026-04-18T21:19:47.596476+00:00
2025-05-13,61,23880,3690,4350,15840,3589,27469,87,1950,2025-05-13T06:03:01+00:00,2025-05-13T13:40:50+00:00,"{""timing"":18,""latency"":51,""rem_sleep"":58,""deep_sleep"":58,""efficiency"":88,""restfulness"":74,""total_sleep"":65}",2026-04-18T21:19:47.596476+00:00
2025-05-14,59,26610,4470,5730,16410,11814,38424,69,630,2025-05-14T06:08:58+00:00,2025-05-14T16:49:22+00:00,"{""timing"":14,""latency"":86,""rem_sleep"":76,""deep_sleep"":70,""efficiency"":46,""restfulness"":26,""total_sleep"":75}",2026-04-18T21:19:47.596476+00:00
2025-05-15,75,31440,5640,6630,19170,5869,37309,84,2580,2025-05-15T04:28:32+00:00,2025-05-15T14:50:21+00:00,"{""timing"":21,""latency"":24,""rem_sleep"":88,""deep_sleep"":88,""efficiency"":81,""restfulness"":78,""total_sleep"":94}",2026-04-18T21:19:47.596476+00:00
2025-05-16,64,27720,5670,5340,16710,8403,36123,77,1800,2025-05-16T05:54:01+00:00,2025-05-16T15:56:04+00:00,"{""timing"":13,""latency"":59,""rem_sleep"":71,""deep_sleep"":89,""efficiency"":65,""restfulness"":43,""total_sleep"":80}",2026-04-18T21:19:47.596476+00:00
2025-05-17,31,3030,1020,240,1770,930,3960,77,1020,2025-05-16T22:25:32+00:00,2025-05-16T23:31:32+00:00,"{""timing"":1,""latency"":94,""rem_sleep"":3,""deep_sleep"":15,""efficiency"":65,""restfulness"":72,""total_sleep"":6}",2026-04-18T21:19:47.596476+00:00
